,0
MoranAuto_BIGC670101_10,0.0
MoranAuto_BIGC670101_11,0.0
MoranAuto_BIGC670101_12,0.0
MoranAuto_BIGC670101_13,0.0
MoranAuto_BIGC670101_14,0.0
MoranAuto_BIGC670101_15,0.0
MoranAuto_BIGC670101_16,0.0
MoranAuto_BIGC670101_17,0.0
MoranAuto_BIGC670101_18,0.0
MoranAuto_BIGC670101_19,0.0
MoranAuto_BIGC670101_20,0.0
MoranAuto_BIGC670101_21,0.0
MoranAuto_BIGC670101_22,0.0
MoranAuto_BIGC670101_23,0.0
MoranAuto_BIGC670101_24,0.0
MoranAuto_BIGC670101_25,0.0
MoranAuto_BIGC670101_26,0.0
MoranAuto_BIGC670101_27,0.0
MoranAuto_BIGC670101_28,0.0
MoranAuto_BIGC670101_29,0.0
MoranAuto_BIGC670101_30,0.0
MoranAuto_CHAM810101_1,0.0
MoranAuto_CHAM810101_2,0.0
MoranAuto_CHAM810101_3,0.0
MoranAuto_CHAM810101_4,0.0
MoranAuto_CHAM810101_5,0.0
MoranAuto_CHAM810101_6,0.0
MoranAuto_CHAM810101_7,0.0
MoranAuto_CHAM810101_8,0.0
MoranAuto_CHAM810101_9,0.0
MoranAuto_CHAM810101_10,0.0
MoranAuto_CHAM810101_11,0.0
MoranAuto_CHAM810101_12,0.0
MoranAuto_CHAM810101_13,0.0
MoranAuto_CHAM810101_14,0.0
MoranAuto_CHAM810101_15,0.0
MoranAuto_CHAM810101_16,0.0
MoranAuto_CHAM810101_17,0.0
MoranAuto_CHAM810101_18,0.0
MoranAuto_CHAM810101_19,0.0
MoranAuto_CHAM810101_20,0.0
MoranAuto_CHAM810101_21,0.0
MoranAuto_CHAM810101_22,0.0
MoranAuto_CHAM810101_23,0.0
MoranAuto_CHAM810101_24,0.0
MoranAuto_CHAM810101_25,0.0
MoranAuto_CHAM810101_26,0.0
MoranAuto_CHAM810101_27,0.0
MoranAuto_CHAM810101_28,0.0
MoranAuto_CHAM810101_29,0.0
MoranAuto_CHAM810101_30,0.0
MoranAuto_DAYM780201_1,0.0
MoranAuto_DAYM780201_2,0.0
MoranAuto_DAYM780201_3,0.0
MoranAuto_DAYM780201_4,0.0
MoranAuto_DAYM780201_5,0.0
MoranAuto_DAYM780201_6,0.0
MoranAuto_DAYM780201_7,0.0
MoranAuto_DAYM780201_8,0.0
MoranAuto_DAYM780201_9,0.0
MoranAuto_DAYM780201_10,0.0
MoranAuto_DAYM780201_11,0.0
MoranAuto_DAYM780201_12,0.0
MoranAuto_DAYM780201_13,0.0
MoranAuto_DAYM780201_14,0.0
MoranAuto_DAYM780201_15,0.0
MoranAuto_DAYM780201_16,0.0
MoranAuto_DAYM780201_17,0.0
MoranAuto_DAYM780201_18,0.0
MoranAuto_DAYM780201_19,0.0
MoranAuto_DAYM780201_20,0.0
MoranAuto_DAYM780201_21,0.0
MoranAuto_DAYM780201_22,0.0
MoranAuto_DAYM780201_23,0.0
MoranAuto_DAYM780201_24,0.0
MoranAuto_DAYM780201_25,0.0
MoranAuto_DAYM780201_26,0.0
MoranAuto_DAYM780201_27,0.0
MoranAuto_DAYM780201_28,0.0
MoranAuto_DAYM780201_29,0.0
MoranAuto_DAYM780201_30,0.0
