,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
10,_conjoint_triad,0.7304780974987142,2.9281546208170024,8.574089483411964,1.9262070506458882,2.3433356918795942,0.7310185408958152
4,_moran_autocorrelation,0.7246103186318272,3.112912883370583,9.690226619454556,1.905575534111646,2.358123338895356,0.7313670362967322
2,_tripeptide_composition,0.7184802756695694,3.0136480972468767,9.08207485403972,1.8847145604067517,2.4393369614107003,0.7189034188013891
5,_geary_autocorrelation,0.6832521233191182,3.1368033769296444,9.839535425517221,1.7768188129125404,2.3594946042959086,0.6861485907639755
14,_amp_pseudo_AAC,0.6672575308965636,3.6325516538165687,13.195431517645488,1.7335879617320213,2.969940967112658,0.6672679408338995
0,_aa_composition,0.6621585877562495,3.524210975015482,12.420062996419574,1.7204559520128662,2.8608077840442396,0.6670060274679257
13,_pseudo_AAC,0.6478354796839019,3.7613366756312523,14.14765358744876,1.6851059036445168,2.8180639721204677,0.6478894816741442
12,_quasi_seq_order,0.6197332267201479,3.5062702935998913,12.293931371781067,1.6216450854158873,2.656372667951468,0.6461706662577178
1,_dipeptide_composition,0.6061580403202366,3.2311948190160384,10.44061995843609,1.5934520825556076,2.5604251625022365,0.6418635727712727
6,_CTD,0.5851718119482407,3.2300156798135546,10.43300129184142,1.5526224811825093,2.5976249759095418,0.5923284346993117
3,_normalized_moreaubroto_autocorrelation,0.5110674868906682,3.9763356838432165,15.8112454706049,1.4301300790657403,3.203010675371134,0.5118002880954011
9,_distribution,0.5014213051220702,3.750399923352108,14.065499585079497,1.4162278868262281,2.955735917706844,0.5222401389623619
8,_transition,0.5001577434751139,3.866392608744695,14.94899180495561,1.4144366981336804,3.1019441252073534,0.5163312507794608
7,_composition,0.4955032994124894,4.594623657496451,21.110566554026065,1.4078968422263636,3.7590630180382987,0.4999777407183801
11,_seq_order_coupling_number,0.014423632379580331,5.737739455327435,32.92165405722117,1.0072907813409733,4.658618825297447,0.046481772406934185
