,Index,R2,RMSE,MSE,RPD,MAE,Explained Var
217,JOND920102,1.0,4.997527690655442,24.975283018867916,1.0526933324859788,3.945283018867925,0.17430532103009888
280,LEWP710101,1.0,5.688850399502919,32.363018867924524,1.0966314277332594,4.3169811320754725,0.2091981087220074
216,JOND920101,1.0,5.647791353246977,31.897547169811318,1.2145305332619554,4.216981132075472,0.32486060829090513
215,JOND750102,1.0,5.132232586385259,26.33981132075472,1.3374999344375162,3.922641509433963,0.43025538035995337
214,JOND750101,1.0,5.89744108243183,34.77981132075472,1.05278376346133,4.537735849056605,0.08303526381975779
213,JANJ790102,1.0,5.789629635888181,33.51981132075471,1.0776818511710886,4.462264150943397,0.21542900379212915
243,KARS160116,1.0,5.081078477111531,25.81735849056604,1.1789445274032035,4.075471698113208,0.2709011446191131
245,KARS160118,1.0,4.740113843072024,22.468679245283028,1.2832632361966834,3.6339622641509433,0.3814006196890729
212,JANJ790101,1.0,5.765725011276585,33.24358490566038,0.9961080929634833,4.511320754716982,-0.0011217988910936505
269,LEVM760103,1.0,5.1191464500792,26.20566037735848,1.1698826523320225,4.049056603773584,0.25529885085844695
263,KUMS000103,1.0,4.236833099967608,17.95075471698113,1.4691929647194195,3.239622641509434,0.5329836038555147
264,KUMS000104,1.0,5.820166631862143,33.874339622641514,0.8710796640720888,4.516981132075473,-0.27006862990895253
265,KYTJ820101,1.0,4.969985383980635,24.700754716981137,1.32441082383495,3.7962264150943406,0.44928179257070666
266,LAWE840101,1.0,5.327022602854314,28.37716981132075,1.19361549193215,4.254716981132076,0.3198911182191204
267,LEVM760101,1.0,5.1642091944240205,26.669056603773594,1.0976851114898605,4.233962264150944,0.1545380369548751
268,LEVM760102,1.0,5.943523508670022,35.32547169811321,1.082044443304276,4.650943396226415,0.14546835557640792
270,LEVM760104,1.0,5.1506548402139,26.52924528301887,1.2291345966914013,4.530188679245283,0.3683345241168978
279,LEVM780106,1.0,4.146287268534048,17.191698113207536,1.4565006980890038,3.3018867924528292,0.5369300923647786
271,LEVM760105,1.0,6.106615651650358,37.290754716981134,1.046847585437691,4.579245283018868,0.06996646666946105
272,LEVM760106,1.0,6.090744602371762,37.097169811320754,1.112827766758881,4.986792452830188,0.17741246308613012
273,LEVM760107,1.0,5.5766866473080725,31.09943396226415,1.0615192800768847,4.179245283018868,0.09584338630562039
274,LEVM780101,1.0,6.2333854637446136,38.85509433962265,1.1163387277927637,4.664150943396227,0.18219578272580805
275,LEVM780102,1.0,5.956667423354507,35.481886792452826,0.920250335925008,4.879245283018868,-0.16207358082462542
276,LEVM780103,1.0,5.391030286241194,29.06320754716981,1.008593605991203,4.167924528301886,-0.001768269768649633
262,KUMS000102,1.0,5.572692855377673,31.054905660377354,1.0969435960898037,4.549056603773585,0.15344946048956587
261,KUMS000101,1.0,4.891772067693276,23.929433962264156,1.0216656858692374,3.9056603773584913,0.05064952346198659
260,KUHL950101,1.0,5.328102781035949,28.38867924528302,1.3262394708576108,4.09811320754717,0.4343466375227263
259,KRIW790103,1.0,5.06880954353971,25.692830188679242,1.1260956323188769,3.860377358490566,0.26091300820867225
258,KRIW790102,1.0,5.410855615387094,29.277358490566048,1.2417779522069696,4.532075471698113,0.3390268899874398
257,KRIW790101,1.0,5.413818796585656,29.30943396226416,1.094240427819353,4.19245283018868,0.15395762656137735
256,KRIW710101,1.0,6.533657417196208,42.68867924528302,0.9950280990891918,5.120754716981132,-0.025583471307663475
255,KOEP990102,1.0,6.148922286305045,37.80924528301887,1.0652517780840962,4.960377358490568,0.11473966871417152
254,KOEP990101,1.0,4.402679287168255,19.38358490566038,1.1911917306957116,3.4999999999999996,0.28206508331651303
253,KLEP840101,1.0,5.243216641978184,27.491320754716984,1.2627594042117671,4.173584905660379,0.40836590829215846
252,KIMC930101,1.0,5.607575738264919,31.44490566037735,1.0278473088405928,4.40377358490566,0.03687448924690728
251,KIDA850101,1.0,6.438724237868925,41.457169811320774,0.9514548786482845,5.050943396226417,-0.1235073296408622
250,KHAG800101,1.0,5.847963683649465,34.198679245283024,1.024503205548389,4.481132075471699,0.0461822991237586
249,KARS160122,1.0,5.359315642033355,28.722264150943392,0.9080604979532063,4.279245283018867,-0.19006166189280305
248,KARS160121,1.0,5.353450659365803,28.659433962264156,1.1591248123991427,4.371698113207547,0.2491629480060955
247,KARS160120,1.0,7.103878823545814,50.46509433962265,0.8815020603216133,5.7867924528301895,-0.30260877514759965
246,KARS160119,1.0,5.708269406978047,32.58433962264151,1.0469888167909371,4.450943396226415,0.07722886212880253
143,FAUJ880113,1.0,5.817053653487062,33.838113207547174,1.1290936133667708,4.679245283018868,0.20122267662926663
277,LEVM780104,1.0,5.4437778225357505,29.634716981132076,1.1214739702463001,4.350943396226415,0.19908645571296169
278,LEVM780105,1.0,6.136912750985429,37.66169811320754,0.9687502216280919,4.6773584905660375,-0.08230258509870936
167,GEIM800105,1.0,5.996225227685504,35.95471698113208,0.9597569801218389,4.758490566037736,-0.08717034951710345
161,FUKS010112,1.0,5.743790740919424,32.991132075471704,0.9941645699351507,4.247169811320755,0.06730302507636388
162,GARJ730101,1.0,5.53672132393061,30.65528301886793,1.0628692932245347,4.254716981132076,0.09792269818731658
163,GEIM800101,1.0,5.084512184167071,25.8522641509434,1.074704364328055,3.80188679245283,0.1265977621547555
164,GEIM800102,1.0,7.000566014852078,49.0079245283019,0.8172264211474478,5.279245283018867,-0.5097698640451391
165,GEIM800103,1.0,5.480944692019901,30.04075471698113,1.0554683669885632,4.252830188679245,0.19263906489478244
166,GEIM800104,1.0,5.571473840440874,31.04132075471698,1.028042614333648,4.526415094339622,0.0627153121531282
168,GEIM800106,1.0,4.645894921609992,21.58433962264151,1.1817087447482266,3.854716981132075,0.3141825023010998
176,GEOR030103,1.0,5.849834701744644,34.22056603773585,1.086532592978254,4.620754716981132,0.1754182542187378
169,GEIM800107,1.0,4.543541964690726,20.643773584905663,1.3366501357510772,3.732075471698114,0.4525699966433562
170,GEIM800108,1.0,4.304999287796053,18.53301886792453,1.2781296967300977,3.50377358490566,0.4241100630415706
171,GEIM800109,1.0,6.3523877549059655,40.35283018867925,0.9346995178329974,4.8,-0.10432124927621
172,GEIM800110,1.0,4.697570628667625,22.067169811320753,1.2569146463465533,3.7660377358490567,0.35533088859002093
