,Index,R2,RMSE,MSE,RPD,MAE,Explained Var
365,PALJ810106,0.8597900460648379,3.9636062694555245,15.710174659267139,1.3845127203069403,3.1673501450880335,0.4792449229194663
148,FINA910104,0.8597045317697779,3.706609151781544,13.738951404070699,1.670900828248273,2.996723343647042,0.6412183293520881
564,ZIMJ680104,0.8596661304032438,4.246003961592988,18.028549641863354,1.4887908312589258,3.6393711849561896,0.5436882942601519
389,PONP930101,0.8595914225759282,4.070617375976434,16.56992582160127,1.304101812228011,3.1321978624536415,0.4144349243951193
214,JOND750101,0.8594783718198429,3.561384973029263,12.683462926118644,1.7190217582588203,2.6582203257417967,0.6716621417492896
181,GEOR030108,0.8594637081456503,4.502382057724838,20.271444193722544,1.191480083677679,3.4749016563957644,0.28205347612074994
108,COSI940101,0.8593950816063751,4.424209717720606,19.573631626373444,1.3938278626887215,3.445907304216359,0.48484473586446475
378,PARS000102,0.8593790376497148,3.7203744094960416,13.84118574683302,1.4296244635439814,2.970766266783424,0.5051260995897926
292,MEEJ800101,0.8593286792755945,4.190149896623245,17.55735615617179,1.300593746230241,3.363260747164646,0.397578420464084
107,CORJ870108,0.8592681771337728,4.221843670978243,17.823963982179052,1.4376045548076983,3.5302226686527414,0.5159831975698181
446,RACS820104,0.8592523142238687,4.4038278032614695,19.393699320778744,1.3327644417655333,3.5280540756467618,0.43378436318987246
125,FASG760102,0.8591957767177564,3.6645943952725597,13.429252081863057,1.538640098878371,2.907007911249959,0.5708260755536528
478,RICJ880114,0.8589840588930973,3.6045403904488995,12.992711426377506,1.5379216266131401,2.701999752473429,0.5803183870912035
323,NAKH900101,0.8588647898559556,3.8681216441038226,14.96236505358446,1.5661901985095206,3.0743457710688604,0.5903500818111019
439,QIAN880139,0.8588538624279549,4.051855452659758,16.417532609248617,1.5572926985423319,3.3100243208860816,0.5867844516987116
10,AURR980107,0.8588130747072973,3.754354481388086,14.095177571918805,1.3857766860429304,3.147800636238419,0.47009765620508814
41,BIGC670101,0.8588072368506054,3.5557000619461254,12.64300293052368,1.264628492658668,2.6975674990443173,0.37373043223094415
518,TANS770106,0.8588003825511681,4.7210550635886,22.288360913435557,1.3857095652669804,3.810041867319243,0.46980407272499636
172,GEIM800110,0.858683794853654,3.7139242949152895,13.79323366836203,1.3774553985466342,3.044004347793436,0.47959646466969397
163,GEIM800101,0.8586718260109238,4.967311750709255,24.674186028734244,1.157122357559047,3.971089288402344,0.25236776719145415
98,CIDH920105,0.8584812027591149,4.122742613159522,16.997006654361407,1.5510859338848397,3.170962937652136,0.5764114083182004
24,AVBF000101,0.8584514102233262,3.555733051612432,12.643237534329058,1.4870617678129192,2.7146252946774347,0.5397741773777591
193,GUYH850105,0.8584365272774994,3.5039605538633283,12.277739563030202,1.6207050663698257,2.9959573797625034,0.612251886957374
147,FINA910103,0.8583663544013465,3.6168765772935387,13.081796175374622,1.393566736103599,2.823553920482133,0.5059898083791785
294,MEEJ810101,0.8583331829912839,3.928435651917858,15.432606671259286,1.6334517359086635,3.128547386115478,0.6191052052700176
471,RICJ880107,0.8580605659454821,4.009473755896667,16.075879799224126,1.318523617197692,2.8970432714120182,0.4178750444634457
528,VELV850101,0.8579935013710066,4.145999951357925,17.189315596659917,1.397221010390785,2.931065562894456,0.5019771288301513
