,Index,R2,RMSE,MSE,RPD,MAE,Explained Var
361,PALJ810102,0.47540432672278254,5.277812582915138,27.855305660377365,0.9193213341282106,4.242264150943398,-0.04093304669857267
394,PRAM900102,0.4753411083000251,4.165099378188795,17.34805283018868,1.1944552229056173,3.257735849056605,0.3046768406207576
184,GOLD730102,0.47529790209813294,5.277552320021663,27.852558490566047,1.1583331119797773,4.270943396226415,0.3008371141419719
523,TSAJ990101,0.47518960304177077,4.544169808147909,20.649479245283004,1.451467390236938,3.713962264150942,0.5179672564858566
386,PONP800106,0.47436595198345843,4.759832722603791,22.656007547169818,1.3510883627347712,3.8260377358490567,0.4416809910617948
546,WOEC730101,0.4743597720090771,4.980657681812335,24.80695094339623,1.316744373704623,4.106037735849058,0.41392935767804695
508,SUEM840101,0.47413558046062937,5.723734102443239,32.76113207547171,1.2358661060948937,4.941886792452831,0.3340838560954509
447,RACS820105,0.47405860774910125,4.671231908947556,21.82040754716983,1.1201289614702512,3.8211320754716995,0.30506731582775426
4,AURR980101,0.4711842091435945,5.348093647308109,28.60210566037735,1.072786367191865,4.053207547169811,0.11729713820988374
147,FINA910103,0.4707560516243178,5.0003826268691025,25.003826415094345,1.2226691350649652,4.101509433962265,0.32080821823927075
334,NAKH900112,0.46970533911694495,4.1431124932923895,17.165381132075478,1.4832103473292086,3.177735849056604,0.5660790318182367
453,RACS820111,0.4690486894386403,4.959315990571646,24.594815094339626,1.2370763245429208,4.234339622641509,0.3583823349084069
14,AURR980111,0.46794122764205137,4.274119571702171,18.268098113207547,1.239332833049741,3.2864150943396226,0.3364409916555112
449,RACS820107,0.4673438875852234,5.409303655530519,29.260566037735835,1.047929458343794,4.106037735849057,0.07407774642594422
212,JANJ790101,0.4670919530946048,4.722219657170348,22.299358490566043,1.2628784261112629,3.8343396226415094,0.4442678483031457
200,ISOY800101,0.466972409798918,5.30229782869191,28.114362264150945,1.158624301705782,4.250188679245282,0.24075493523866265
219,JUNJ780101,0.46637492104782347,5.172010302197565,26.749690566037746,1.0271787749565031,3.8347169811320763,0.1897780159302762
210,JANJ780102,0.4657077427435813,5.39232508398008,29.077169811320775,1.175336696511149,4.367169811320757,0.28655380402832376
474,RICJ880110,0.46567516919109736,4.701244315413478,22.101698113207544,1.3410076160289741,3.669056603773584,0.43383074319710424
164,GEIM800102,0.46538991295827825,5.624398332601772,31.633856603773598,1.1296947503409906,4.1811320754717,0.2015229618423685
245,KARS160118,0.46513102938015116,5.4430540816575625,29.626837735849055,1.076085692080243,4.647547169811321,0.21159630618022685
222,KANM800102,0.464269481139774,5.3276799439254665,28.384173584905664,1.1795339018384197,4.351320754716982,0.26887978291194126
391,PRAM820102,0.4635000289054232,4.993839978999032,24.938437735849053,1.3009319318719346,3.855471698113206,0.4058500255242268
252,KIMC930101,0.46297844549680583,4.76082757987338,22.66547924528303,1.3050599656293875,3.9486792452830204,0.4089204354050865
58,CEDJ970103,0.4627013515966608,4.6911904592041775,22.007267924528303,1.269942877777666,3.875094339622642,0.3914358322276954
199,HUTJ700103,0.4626914020594819,5.499849740657587,30.248347169811325,1.064669044491562,4.356226415094339,0.2032930406682747
363,PALJ810104,0.4606840389791109,4.442535397125946,19.736120754716985,1.1097345828295333,3.599245283018868,0.17324507511055431
532,VINM940102,0.4605948416675453,5.374656110104794,28.886928301886794,1.1112260635639006,4.432452830188681,0.18091087104283876
535,WARP780101,0.46005021934612517,5.574466046009538,31.07467169811321,1.0889853993710379,4.353962264150943,0.14255366394096658
261,KUMS000101,0.459777280909831,4.8200305330591675,23.232694339622643,1.080976815833582,3.8716981132075476,0.13519653713351176
354,OOBM770105,0.45936695188751486,5.608966541206798,31.46050566037735,0.8951273366517508,4.634339622641509,-0.2635186049899265
385,PONP800105,0.45903916800570144,5.027620315590255,25.276966037735853,1.2146335014221807,4.1252830188679255,0.31797982227489285
379,PLIV810101,0.4569625987784335,5.47052341326626,29.926626415094333,1.1736674695041929,4.645283018867924,0.28628527288660166
323,NAKH900101,0.45670165504891636,5.920592780112861,35.05341886792453,0.7959791814227974,5.018113207547169,-0.49699472689167656
545,WIMW960101,0.45649292180187195,4.705895940601915,22.145456603773585,1.1309206255280102,4.033584905660377,0.20577043891410596
66,CHAM830103,0.45624645632338956,4.537411779900229,20.588105660377366,1.2315275722845476,3.6264150943396234,0.36930930293037556
262,KUMS000102,0.4541363243293254,5.837272560314125,34.07375094339623,0.959188747432229,4.63698113207547,-0.09526437428702583
197,HUTJ700101,0.4511938068303557,4.884230303781484,23.855705660377364,1.1901455048821814,3.771698113207548,0.2873044324611759
218,JUKT750101,0.4506219982182754,5.241596328931835,27.474332075471693,1.182913085364542,4.356603773584906,0.28696405849025075
216,JOND920101,0.45055007365746025,5.6165778878077806,31.545947169811313,1.0102431259084041,4.58943396226415,0.05680888403626083
