,Index,R2,RMSE,MSE,RPD,MAE,Explained Var
408,QIAN880108,0.5649160726789917,4.230347586165282,17.895840699774425,1.1963619064949231,3.608084420692647,0.3564526663614138
484,ROBB760103,0.5598015482225628,3.4163974047398185,11.671771227112968,1.3585382700364457,2.576141580357497,0.4777990956906044
406,QIAN880106,0.5429765484264895,4.251656895318724,18.076586355511246,1.3427874539963696,3.5037528181828974,0.4352249017104285
438,QIAN880138,0.5182983758635669,4.231966576385547,17.909541103644408,1.3416853972564327,3.2723717884507084,0.43391004019204304
405,QIAN880105,0.5171896135242775,4.800923398332405,23.048865476655568,1.3127393222094739,3.9067388049818987,0.43121978065315636
412,QIAN880112,0.5138042473304114,4.365935251636998,19.061390621486616,1.3532695729682003,3.771847711290724,0.46805849834953206
482,ROBB760101,0.5111494708494103,4.580516636289609,20.981132655325872,1.3118937662935604,3.6952799335296844,0.4625683584339454
437,QIAN880137,0.5063819602503212,4.0515313195294596,16.414906033128126,1.4467238379470382,3.257216627941173,0.5179864108376466
436,QIAN880136,0.5050584086587451,4.5247707032702165,20.473549917172452,1.2553372579072126,3.6708837932167384,0.39127266366255187
485,ROBB760104,0.5003892593012105,4.706149740321,22.147845378323417,1.3413121996707518,3.7923360558036743,0.45859406425431426
490,ROBB760109,0.49879705408320896,4.010461529633057,16.08380168066672,1.3662372008933845,3.4180845846705594,0.4541524397024631
510,SUYM030101,0.49624508173516224,4.600855583678634,21.167872101866863,1.215093097397182,3.7599482427977944,0.3115723094847429
401,QIAN880101,0.49559757333201593,4.379304931364763,19.178311681875734,1.388613483322157,3.5523222600321276,0.47497053679964996
407,QIAN880107,0.4944751813657623,3.5149417911795853,12.35481579538075,1.563580289651233,2.8040085331756015,0.5895939152354424
505,SNEP660102,0.4933580269815177,4.0365225447058455,16.293514253918556,1.3418837213279164,3.429306685487332,0.43917102504013605
411,QIAN880111,0.4839701355410979,3.8234898675202005,14.619074767029641,1.3824680986330624,3.131128948557637,0.4672533915345467
410,QIAN880110,0.48271490793422467,4.194568846203364,17.594407805539817,1.3389433502022525,3.2330177480352775,0.47317528775178375
349,ONEK900102,0.4795170912714585,4.242463499284174,17.998496542758517,1.314251280812488,3.5881077307925855,0.4265698470814657
357,OOBM850103,0.4767894304940865,4.666016246401886,21.771707611686352,1.2036976723458188,3.5362068966594356,0.2972689699748927
409,QIAN880109,0.4751438692486005,4.1906845952135745,17.56183737656036,1.3272009124020352,3.3966773733393567,0.4249105176833121
253,KLEP840101,0.4699325861446303,4.877678996224972,23.791752390214256,1.202814421899425,3.9759223765435565,0.30642295014076615
402,QIAN880102,0.4668471261914613,4.4262193528075775,19.59141775916833,1.353835797112787,3.6136376271371042,0.46835857691132643
404,QIAN880104,0.4660633900613724,4.648779594419221,21.611151717488532,1.3907941940888036,3.745195363751084,0.47500464789315844
426,QIAN880126,0.46519638063089963,4.591482163290993,21.081708455819335,1.2309599063140066,3.7755063839582017,0.40046246501665006
434,QIAN880134,0.4545961794170361,4.488302681162919,20.14486095773425,1.2946667873227737,3.6623541896772527,0.47373549888843747
433,QIAN880133,0.45211570513274435,5.114412264489996,26.15721281116569,1.2594224390145907,4.099184844281238,0.3595576466173529
413,QIAN880113,0.4489940934745079,4.793205615244467,22.97482007001109,1.2979934449520598,3.9499695323381023,0.4086974682226133
483,ROBB760102,0.4474379550364958,4.080679270936808,16.65194331225336,1.2813744871466453,3.2712122236126064,0.37995047457588094
43,BIOV880102,0.44726568731567007,4.6485885062580525,21.609375100514473,1.2338954921534826,3.763915614035088,0.33991593702558787
488,ROBB760107,0.44714276943650755,4.5099849372286345,20.33996413402917,1.4233533151366946,3.4125389148815186,0.4996117034539135
432,QIAN880132,0.44558893197488936,4.313544742522093,18.60666824573999,1.346630252001392,3.3412944473286705,0.450140295001495
435,QIAN880135,0.4451445292316098,4.513461916254523,20.371338469479955,1.3913655620742533,3.739062909955851,0.4740835998593773
418,QIAN880118,0.44505427678868514,4.367849055374798,19.078105370538513,1.3029166664495995,3.487670410688392,0.40775126107604776
415,QIAN880115,0.4447033199708592,4.595191284647759,21.115782942502722,1.260556589189207,3.8376881815746393,0.3881469016569863
431,QIAN880131,0.44036569695840666,4.244430120905603,18.015187051250756,1.3907866848651838,3.327324339904058,0.4748184831179141
399,PUNT030101,0.43531185355668045,4.598364471177859,21.14495580979083,1.251560807440293,3.7290829704829145,0.35266128372385497
427,QIAN880127,0.4335326452032452,4.2106282539496105,17.729390292958744,1.3382661215896978,3.4245735127265133,0.43470559545695553
400,PUNT030102,0.43304300395193973,5.245030399478902,27.510343891457815,1.2314233069873362,4.334070673645286,0.3310432431037309
422,QIAN880122,0.4318388632908461,4.396150964025076,19.326143298498604,1.2764684340225807,3.4539061671748605,0.3990597629498559
105,CORJ870106,0.4273168433636879,4.808266289767656,23.11942471331602,1.2760718944179135,3.8323305951262814,0.37552762966986974
530,VHEG790101,0.4263776027406022,4.819011316739765,23.222870070865923,1.2983040696745807,3.8503487244538603,0.3996000365132292
493,ROBB760112,0.426292730551765,4.333742143928068,18.781320970058246,1.2526269760026565,3.5097835309759438,0.3856991295986931
