,Index,Category,R2,RMSE,MSE,RPD,MAE,Explained Var
527,VASM830103,meta,0.6305816190646707,3.718085072153887,13.824156603773575,1.645283527947868,3.0779245283018857,0.6321184256665497
45,BLAS910101,hydrophobic,0.6292072458824518,3.9215478749913353,15.378537735849056,1.6422315092848894,3.196037735849057,0.6315299626840882
343,NAKH920108,composition,0.6286788599775092,3.7501471669235733,14.063603773584903,1.6410626546174634,2.856226415094339,0.6289757351948709
495,ROBB790101,hydrophobic,0.6252845608965001,3.07734294849331,9.4700396226415,1.6336130960266397,2.447358490566036,0.6485840499287376
466,RICJ880102,sec_struct,0.6235120341764784,3.3640785556080415,11.317024528301888,1.6297629874416066,2.547735849056603,0.6289712616575049
405,QIAN880105,sec_struct,0.6211516774296199,3.515568876910518,12.35922452830188,1.6246780598707282,2.6545283018867925,0.6559992893810263
515,TANS770103,sec_struct,0.6207904773557806,3.701776218224345,13.703147169811334,1.623904116169818,3.018867924528304,0.6214115582625147
450,RACS820108,geometry,0.620395594383402,4.021584218021737,16.17313962264151,1.6230592643623045,3.1075471698113213,0.6336048371072612
296,MEIH800101,geometry,0.6199072011513426,3.747389531645568,14.042928301886791,1.6220161691437849,2.8128301886792437,0.622473578614138
159,FUKS010110,composition,0.6192873842066184,3.4731693970172794,12.062905660377373,1.6206952743431302,2.8192452830188697,0.619607772111075
422,QIAN880122,sec_struct,0.6161408708352039,3.6491743703070227,13.316473584905657,1.6140391441215032,2.9998113207547155,0.619491660812211
15,AURR980112,sec_struct,0.6160620932282465,3.2543460056558673,10.590767924528299,1.6138735487713123,2.6783018867924535,0.619614106454015
406,QIAN880106,sec_struct,0.6159961429877734,4.102160268434734,16.827718867924528,1.613734956518939,3.2726415094339623,0.6160215940042543
462,RADA880106,hydrophobic,0.6148896761419269,3.5538172408175526,12.629616981132083,1.6114150646833107,2.967358490566037,0.6177915515096515
379,PLIV810101,hydrophobic,0.6131686812795588,3.8187558479713126,14.582896226415098,1.607826512910389,3.044716981132075,0.6151788693325497
227,KARP850103,flexibility,0.6123352733565344,3.7728116235998064,14.234107547169806,1.6060973172769955,3.0522641509433965,0.6554052476031043
138,FAUJ880108,polar,0.6123119100135728,3.927039789642316,15.421641509433966,1.6060489222285455,3.166037735849057,0.6125483529557694
558,ZHOH040101,observable,0.6119934352963444,3.770399358258316,14.215911320754723,1.6053896666610297,3.1613207547169826,0.6275788251238423
191,GUYH850103,hydrophobic,0.6115337106613541,3.8763781481132376,15.026307547169814,1.604439448221417,3.1933962264150937,0.6221166158208293
361,PALJ810102,sec_struct,0.6111419837245099,3.699624407249605,13.687220754716991,1.6036311062448494,2.914528301886794,0.6184551533994247
183,GOLD730101,hydrophobic,0.6104726142578765,4.104693815713264,16.848511320754717,1.6022526624177387,3.2590566037735846,0.6156785727572047
348,ONEK900101,sec_struct,0.6090232625316496,4.073678510115101,16.59485660377359,1.5992801277839344,3.396981132075472,0.6094726778147082
2,ARGP820102,sec_struct,0.6069724563129182,3.959940679944491,15.681130188679239,1.5951021720957808,3.261698113207546,0.6133095235375956
502,ROSM880105,hydrophobic,0.6068426944353171,4.067449249373175,16.54414339622641,1.5948389180096063,3.38754716981132,0.617880069696858
59,CEDJ970104,composition,0.6064755946088327,3.5548598146603183,12.637028301886794,1.5940948705200906,2.824716981132076,0.6091218511318366
21,AURR980118,sec_struct,0.6061532083719039,3.407965142881356,11.614226415094342,1.5934423078133566,2.72377358490566,0.621920662675125
282,LIFS790102,sec_struct,0.6050841588153716,4.177917012823225,17.454990566037743,1.591284097109159,3.2201886792452834,0.6099464785115853
44,BLAM930101,sec_struct,0.6043329821066259,3.675202985024376,13.507116981132082,1.589772847277661,2.8641509433962273,0.6044344958019646
184,GOLD730102,geometry,0.6041217675163492,4.307824386322664,18.557350943396234,1.5893486915740542,3.343773584905661,0.6046939484114929
199,HUTJ700103,flexibility,0.6036982533871942,3.7496935723859433,14.060201886792457,1.5884992232562996,2.887735849056604,0.6051407707749552
216,JOND920101,composition,0.6030298204615264,3.5140513092118604,12.34855660377359,1.5871612732145806,2.8775471698113204,0.6111091078466827
198,HUTJ700102,flexibility,0.6024787617355147,3.434440164755098,11.795379245283025,1.5860608007081867,2.7462264150943394,0.6117443667369089
366,PALJ810107,sec_struct,0.602202133622799,4.10746673983709,16.87128301886793,1.5855092325049027,3.29811320754717,0.6099492153655626
251,KIDA850101,hydrophobic,0.6009553303438631,3.606015414527693,13.00334716981133,1.5830303563229093,2.982264150943398,0.6036550564147202
228,KARS160101,meta,0.6007652963626393,3.8969964244370905,15.18658113207547,1.5826535536988116,3.2018867924528296,0.6126128427865782
90,CHOP780213,sec_struct,0.6002970718133604,3.7234656204153547,13.864196226415103,1.5817262970535046,3.113207547169812,0.6005315738869761
55,CASG920101,hydrophobic,0.5998592930772957,3.7434377803156194,14.013326415094332,1.580860806957688,3.0058490566037728,0.6000343647781662
56,CEDJ970101,composition,0.5997043892552936,3.8671287676595894,14.954684905660374,1.580554901684537,3.088490566037736,0.6312647877317048
452,RACS820110,geometry,0.5993670862853017,3.82299990869563,14.615328301886795,1.5798894070326823,2.843018867924528,0.5993994105821963
173,GEIM800111,sec_struct,0.5992596056172241,3.7573008176032787,14.117309433962266,1.579677525526995,2.9716981132075477,0.6326942880668551
196,HOPT810101,polar,0.598144056200152,3.652994636092523,13.344369811320744,1.5774834146272454,3.110188679245283,0.5993125370129992
483,ROBB760102,sec_struct,0.5980753966323136,3.472284876583564,12.056762264150937,1.5773486705054036,2.797735849056603,0.6036020857508584
333,NAKH900111,composition,0.5976626569762343,3.583116857582842,12.838726415094342,1.5765393976260258,2.906603773584906,0.6037244514436023
488,ROBB760107,sec_struct,0.5954307785530464,4.095846722883864,16.775960377358487,1.5721847528364514,3.4733962264150935,0.6005128167705255
320,NAGK730101,sec_struct,0.5952672679110076,3.655434310721505,13.362200000000005,1.5718671421183827,2.8713207547169812,0.6015822097293062
214,JOND750101,hydrophobic,0.5951398708966258,3.671961842610147,13.483303773584906,1.5716198135693193,3.1718867924528302,0.5984097866976577
170,GEIM800108,sec_struct,0.592717307679105,3.6764582525875182,13.516345283018868,1.5669387567026765,2.916792452830188,0.5959837560694297
167,GEIM800105,sec_struct,0.5926215973014373,3.927716942112617,15.426960377358487,1.5667546758715216,3.088113207547169,0.5926530797191711
