,Index,R2,RMSE,MSE,RPD,MAE,Explained Var
486,ROBB760105,0.9317443228898867,3.291269468910307,10.832454716981134,1.751541423679554,2.5058490566037745,0.6694787146510701
412,QIAN880112,0.9315546090911978,3.932983168508809,15.46835660377359,1.4460608108734037,3.0235849056603774,0.5151117607400983
99,COHE430101,0.9309604642318958,4.299668482174385,18.487149056603783,1.2999756554290975,3.279811320754718,0.3973989742084094
373,PALJ810114,0.9308950982921628,4.434322819543537,19.66321886792454,1.2582459581596621,3.3992452830188684,0.35622626014067393
84,CHOP780207,0.9307727192240222,4.29661911845309,18.460935849056604,1.3080130811709194,3.095849056603774,0.4043951279103887
83,CHOP780206,0.9307066808337201,5.032858822232976,25.329667924528295,1.1682805801857825,4.096981132075472,0.3668062604350033
208,JACR890101,0.9305346211927407,4.08467822801443,16.6845962264151,1.3928089306454248,3.318490566037736,0.47579932894407906
413,QIAN880113,0.9302049477328317,4.057347632545276,16.462069811320756,1.3277626244575313,3.1956603773584917,0.4609436156563802
269,LEVM760103,0.9300230160333911,4.939898784388198,24.4026,1.2708644788473973,3.5690566037735856,0.4167402270279228
460,RADA880104,0.9295526859626732,4.74839655160779,22.547269811320753,1.2635270012361046,3.827358490566037,0.36160562089482007
537,WERD780101,0.9295284714950349,4.261915372401172,18.163922641509423,1.34721102534121,3.2239622641509436,0.4498664081809115
420,QIAN880120,0.9294380073297335,3.362587166577276,11.306992452830194,1.669393437399695,2.6286792452830183,0.6490984558887707
202,ISOY800103,0.9293729411162382,4.046311388049195,16.372635849056604,1.4769569436800316,3.3371698113207544,0.5335627060318988
86,CHOP780209,0.9293491916226595,4.0729024002870675,16.588533962264158,1.458219033061466,3.2115094339622647,0.5251931659021745
464,RADA880108,0.929256941523046,3.816165713738986,14.563120754716985,1.3767998739216638,3.003396226415095,0.46398373361808287
524,TSAJ990102,0.9291496208586595,4.891173991882513,23.923583018867916,1.2687704595606861,4.066226415094339,0.38471948072210815
183,GOLD730101,0.9291040294560969,4.191140476119363,17.565658490566044,1.326228043199782,3.3499999999999996,0.43992934511345394
356,OOBM850102,0.9286569262407988,3.9913446450377736,15.930832075471711,1.2819677132460097,3.2979245283018876,0.3880634126939029
338,NAKH920103,0.9284903983715859,4.3367390583683205,18.807305660377345,1.4495646863165221,3.352830188679245,0.517317885452395
288,MAXF760104,0.9282432279824255,3.6786851629762896,13.53272452830189,1.4472692497816302,2.997358490566038,0.515026789499663
146,FINA910102,0.9281913353471107,4.123213392397401,17.000888679245282,1.6065872675395323,3.4281132075471707,0.6053613647691842
455,RACS820113,0.9281863834963074,3.4188246904676105,11.688362264150951,1.5669865531769662,2.2396226415094347,0.6498682615229128
434,QIAN880134,0.9281008698151084,4.225562595120681,17.85537924528302,1.4787944762063845,3.2888679245283026,0.5378176257842935
421,QIAN880121,0.9280373382939101,3.676411037031569,13.515998113207536,1.4532949669827104,2.949999999999998,0.5181882425675566
157,FUKS010108,0.9278421434666116,3.4015426577995744,11.570492452830193,1.6081137874392661,2.5164150943396226,0.6240040580112254
101,CORJ870102,0.9274899848005148,3.578138284765648,12.803073584905654,1.5579825729878072,3.0673584905660376,0.5809009871535075
473,RICJ880109,0.9274267139204015,4.315734704281051,18.625566037735855,1.315124276602727,3.356981132075472,0.4388331234922245
172,GEIM800110,0.9271557292887934,3.498151263760752,12.237062264150946,1.5572105109212386,2.80245283018868,0.581290814927818
223,KANM800103,0.9271158515366593,3.6122326237801854,13.048224528301882,1.2761258990816622,2.82433962264151,0.41849010898490235
4,AURR980101,0.9269228531210189,4.12945357068618,17.052386792452843,1.3256520285188216,3.2356603773584913,0.4236810703186028
282,LIFS790102,0.9268960417798146,4.105441625866361,16.85465094339623,1.3624650596517085,3.391886792452831,0.4544607685552814
448,RACS820106,0.9268347511495609,4.1719867671057695,17.40547358490565,1.472696800605805,3.090377358490565,0.5578256086193175
26,AVBF000103,0.9264904194583407,4.171399927900772,17.400577358490565,1.4730868838544493,3.324905660377358,0.5317167279527996
548,WOLR810101,0.9263175813200082,4.091517225620243,16.740513207547174,1.3745452273641166,3.227169811320755,0.5101546177689977
240,KARS160113,0.9263146887392117,3.635467320924427,13.21662264150943,1.4721686550362358,2.8313207547169803,0.5741134830831578
112,CRAJ730103,0.9262803314388184,4.718351766901915,22.26284339622642,1.2559618221954767,3.8009433962264154,0.35711829722550914
426,QIAN880126,0.926110244831477,4.043811717618314,16.35241320754718,1.5965472480834058,3.066981132075473,0.6079163377577459
526,VASM830102,0.9259424619278698,3.6200513391543505,13.104771698113206,1.6727931035217813,2.919811320754716,0.6380487421635685
58,CEDJ970103,0.9259110807991784,4.581773571075264,20.992649056603778,1.3810058043327118,3.604150943396227,0.46563108193371916
468,RICJ880104,0.9257985167051076,4.026386085022197,16.211784905660377,1.425248817209863,3.1935849056603782,0.5040641163622133
561,ZIMJ680101,0.9257251361768314,4.39378248531967,19.30532452830189,1.4444001200688426,3.534339622641511,0.5154131893313045
247,KARS160120,0.9256074836631071,4.391762013691734,19.287573584905672,1.4402174499367038,3.4660377358490573,0.5165891223841522
292,MEEJ800101,0.9256067512074185,3.822832349163552,14.614047169811322,1.3996660574365714,2.936415094339622,0.4855022462762305
442,RACS770103,0.9255667778206079,3.573350523285416,12.768833962264155,1.4331286991181553,3.0369811320754714,0.5040616311219925
120,EISD860101,0.9253939285637099,4.050803554106549,16.409009433962254,1.468524506418609,3.1681132075471687,0.5308047162420997
252,KIMC930101,0.9253512502515366,4.268801917554941,18.222669811320745,1.322285819063577,3.6103773584905654,0.4189490190022549
212,JANJ790101,0.9248779588939733,4.644329266925705,21.569794339622653,1.394952430707141,3.5447169811320767,0.5057281670732612
294,MEEJ810101,0.9248661583526694,3.4830562918327166,12.131681132075474,1.4001346915568096,2.852641509433962,0.5419718074777282
471,RICJ880107,0.9247083955612266,4.36146266793304,19.022356603773588,1.2448518862959657,3.283207547169812,0.34251031244060925
565,ZIMJ680105,0.9246618791768592,3.8711682211221987,14.985943396226409,1.540218145435681,2.9294339622641496,0.5819479857788223
452,RACS820110,0.9246229045248631,4.3128366972746015,18.600560377358494,1.236464544917291,3.4081132075471703,0.3338503813412156
305,MIYS990105,0.9244177410267083,4.5453102515690675,20.659845283018857,1.2328012358561082,3.458490566037734,0.32982045902288015
