,Algorithm,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
1,PLSRegression,_dipeptide_composition,0.8232307388313569,2.824201392561257,7.976113505744943,2.3784642422354945,2.431446454566116,0.8362457585691166
1,RandomForestRegressor,_dipeptide_composition,0.8139141456637272,2.4794217105744463,6.147532018867913,2.3181595296433453,1.9036037735849043,0.8356107774597162
10,BaggingRegressor,_conjoint_triad,0.8013593105498407,2.4667987810956724,6.0850962264150965,2.2437057092909067,2.0250943396226417,0.8026774101853782
6,PLSRegression,_CTD,0.7977590278643651,2.8633048985372658,8.1985149419875,2.2236448649172216,2.2577159975874754,0.7995821119855141
13,PLSRegression,_pseudo_AAC,0.7878165977254311,2.7834460911440373,7.747572142305019,2.1709223788423064,2.1946119936374373,0.7904721029462959
5,PLSRegression,_geary_autocorrelation,0.7866124945039134,2.4854495877476444,6.177459653234934,2.164788672334934,2.0581501508093467,0.7920308771686881
2,BaggingRegressor,_tripeptide_composition,0.7845848571593543,2.7125678845518104,7.3580245283018835,2.154576334812172,2.141698113207545,0.8062090557632257
2,PLSRegression,_tripeptide_composition,0.7823397709028053,2.691422322980824,7.243754120639492,2.1434356960254792,2.00590282338425,0.7857793917939319
9,RandomForestRegressor,_distribution,0.7623938815831194,2.781277485766245,7.735504452830208,2.0514984358469266,2.2978490566037806,0.7628317566140106
1,BaggingRegressor,_dipeptide_composition,0.7609936425979525,3.036500903317676,9.220337735849062,2.0454801696089584,2.334150943396226,0.7639802161250926
4,PLSRegression,_moran_autocorrelation,0.7599316770938356,2.7891082281256563,7.779124708198238,2.0409509652807025,2.2677330272862783,0.8002006078349825
10,RandomForestRegressor,_conjoint_triad,0.7380093137643007,2.6363245605727816,6.9502071886792685,1.9536963889217096,2.165150943396231,0.7777940220417976
1,AdaBoostRegressor,_dipeptide_composition,0.7306720868375092,3.024070905574507,9.145004841942221,1.9269006222239573,2.424657742047287,0.7397592121735077
10,SVR,_conjoint_triad,0.7304780974987142,2.9281546208170024,8.574089483411964,1.926207050645888,2.3433356918795942,0.7310185408958152
4,SVR,_moran_autocorrelation,0.7246103186318272,3.112912883370583,9.690226619454556,1.905575534111646,2.358123338895356,0.7313670362967322
12,PLSRegression,_quasi_seq_order,0.718858128121978,3.315542390055536,10.992821340255174,1.885980655876028,2.7527955808723257,0.7197896903466013
2,SVR,_tripeptide_composition,0.7184802756695694,3.0136480972468767,9.082074854039721,1.884714560406752,2.4393369614107003,0.7189034188013891
12,AdaBoostRegressor,_quasi_seq_order,0.7123112148493054,3.085357415474666,9.519430381224511,1.8643975941851616,2.4998773406601686,0.7311983431756554
5,AdaBoostRegressor,_geary_autocorrelation,0.7017357890744369,3.4383681772760646,11.822375722504725,1.8310467277690727,2.6699034801111505,0.7024526493498249
13,AdaBoostRegressor,_pseudo_AAC,0.6965602442195964,3.1565869565589133,9.964041214317863,1.815364171816637,2.529039167234215,0.6966585228031721
14,BaggingRegressor,_amp_pseudo_AAC,0.6928630466702141,3.5252110869488607,12.427113207547169,1.8044047597547723,2.8154716981132073,0.6960930359993579
2,RandomForestRegressor,_tripeptide_composition,0.690807222673451,2.7137110877771327,7.364227867924549,1.7983960078583168,2.202433962264158,0.7036556120580613
10,PLSRegression,_conjoint_triad,0.6893094854005868,2.7804031044815147,7.730641423410443,1.7940560318953382,2.0488794956570664,0.6901724388796826
0,RandomForestRegressor,_aa_composition,0.6879075356143447,3.185629939777617,10.148238113207546,1.7900219591054938,2.471924528301884,0.6985676394028439
5,BaggingRegressor,_geary_autocorrelation,0.6862177426005385,3.4011654495326065,11.567926415094338,1.7851956029207658,2.5990566037735854,0.6906194065752862
5,KNN,_geary_autocorrelation,0.6840304721797711,3.4838614447244787,12.137290566037734,1.7790059450954692,2.46377358490566,0.7124129313995979
5,SVR,_geary_autocorrelation,0.6832521233191182,3.1368033769296444,9.839535425517221,1.7768188129125404,2.3594946042959086,0.6861485907639755
10,AdaBoostRegressor,_conjoint_triad,0.6768230750292727,2.9918790803899715,8.951340431675144,1.7590566573213622,2.1639129735318536,0.676861165511909
13,KNN,_pseudo_AAC,0.6734696014208117,3.488395857751432,12.168905660377352,1.7500005725576122,2.7984905660377346,0.6850647588013588
2,AdaBoostRegressor,_tripeptide_composition,0.6694395549332106,3.3465018829511917,11.199074852595869,1.7393002433153837,2.6171887697512397,0.7320153349653796
1,KNN,_dipeptide_composition,0.6692613808958765,3.603449081507725,12.984845283018863,1.7388316861579052,2.741132075471698,0.6739092001994167
12,RandomForestRegressor,_quasi_seq_order,0.6685076255430938,3.3831848286645028,11.44593958490566,1.7368536623942683,2.7288679245283025,0.6691874275032839
4,BaggingRegressor,_moran_autocorrelation,0.6680358527416463,3.0416852329923585,9.251849056603778,1.7356190536937082,2.3988679245283016,0.6685080441299883
14,SVR,_amp_pseudo_AAC,0.6672575308965636,3.6325516538165687,13.195431517645488,1.7335879617320211,2.969940967112658,0.6672679408338995
0,SVR,_aa_composition,0.6621585877562495,3.5242109750154818,12.420062996419576,1.7204559520128662,2.86080778404424,0.6670060274679257
4,RandomForestRegressor,_moran_autocorrelation,0.6610423352373805,3.7834705192205966,14.314649169811373,1.7176207203422966,2.91358490566038,0.6861395433318649
4,AdaBoostRegressor,_moran_autocorrelation,0.6602675778005263,3.2380708526047504,10.485102846488457,1.7156610913937318,2.673836592671352,0.6602708792819132
6,KNN,_CTD,0.6594164211206656,3.5674249473138144,12.726520754716974,1.7135159352675886,2.6852830188679224,0.6706119316302377
