,Algorithm,Index,R2,RMSE,MSE,RPD,MAE,Explained Var
2027,DecisionTreeRegressor,NAKH900107,1.0,4.910404817497036,24.112075471698102,1.011900528403978,4.030188679245283,0.008749640305955375
2026,DecisionTreeRegressor,NAKH900106,1.0,4.734577744117668,22.416226415094346,1.2638730041828077,3.5547169811320756,0.45454591515053744
2025,DecisionTreeRegressor,NAKH900105,1.0,5.334455463713201,28.456415094339622,1.1470867430294722,4.20188679245283,0.24725980537515002
2024,DecisionTreeRegressor,NAKH900104,1.0,5.12715670221387,26.28773584905661,1.1454587749234229,4.254716981132075,0.2312639216786112
2023,DecisionTreeRegressor,NAKH900103,1.0,4.559253497320608,20.78679245283019,1.3586694895575655,3.550943396226416,0.47646978725979494
2022,DecisionTreeRegressor,NAKH900102,1.0,5.5443324793440585,30.739622641509435,1.0135468372302854,4.392452830188679,0.021430029066080047
2021,DecisionTreeRegressor,NAKH900101,1.0,6.360891713920809,40.460943396226405,0.9879587507618469,5.145283018867924,-0.00010308607742559595
2020,DecisionTreeRegressor,NAGK730103,1.0,5.421184859698005,29.389245283018873,1.1121030413728257,4.243396226415094,0.1788828347938829
2019,DecisionTreeRegressor,NAGK730102,1.0,4.892119191994329,23.932830188679247,1.2385689461043616,3.59245283018868,0.343344360722728
2018,DecisionTreeRegressor,NAGK730101,1.0,6.596468466263983,43.5133962264151,0.8914362581674544,5.262264150943396,-0.2823702713746319
2017,DecisionTreeRegressor,NADH010107,1.0,5.240156990302759,27.45924528301887,1.2704676556333183,4.1773584905660375,0.37149616489306136
2016,DecisionTreeRegressor,NADH010106,1.0,4.58675286960094,21.03830188679246,1.2549682094449428,3.522641509433963,0.37924706448185674
2015,DecisionTreeRegressor,NADH010105,1.0,4.80934624671116,23.129811320754715,1.0301853618487191,3.735849056603773,0.12012939117149424
2034,DecisionTreeRegressor,NAKH920101,1.0,6.214392910436467,38.61867924528302,0.9107439413642707,4.9603773584905655,-0.20814327819903178
2035,DecisionTreeRegressor,NAKH920102,1.0,5.802796983368338,33.67245283018868,0.9453542033175041,4.3584905660377355,-0.13452638178836684
