,Index,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
5517,PALJ810108,_quasi_seq_order,0.8278493675468885,2.7610134490597193,7.623195265888647,2.410158969264742,2.248516884928428,0.8283342794908998
6285,QIAN880119,_aa_composition,0.8277714038965853,2.741466579157092,7.515639004635288,2.409613397666613,2.1472770304907693,0.8283497159292623
2543,GEIM800107,_transition,0.8275086198776616,2.6507836682732626,7.026654055984253,2.407777221148338,2.027281379546473,0.8313621510802671
6735,RACS820107,_aa_composition,0.8273553085322374,2.494687475233694,6.223465599087864,2.406707910678854,1.9326686545638665,0.8303570518235681
1875,FASG760102,_aa_composition,0.827292491296959,2.3056196092623673,5.315881782615152,2.406270186552767,1.8193715706567115,0.8398038647486956
4872,NAKH900102,_quasi_seq_order,0.8272230705744535,2.5467455845880633,6.485913072618797,2.405786725600429,2.0426240359010492,0.8295750516202173
3915,KUMS000101,_aa_composition,0.826911688175799,2.42898688720053,5.89997729819212,2.4036217704698357,1.8394904214707621,0.8277694584593316
24,ARGP820101,_distribution,0.8266410724719799,2.9024535621419236,8.424236680390342,2.401744994211028,2.412853111841293,0.8266476386272946
5082,NAKH920103,_quasi_seq_order,0.8262034861625972,2.6165767543285736,6.8464739112926525,2.398719521850534,1.9508820838859355,0.8263875606541494
6555,QIAN880137,_aa_composition,0.8257833735041559,2.5809808293421277,6.6614620414315775,2.3958255940141586,2.1722188928815247,0.8261684921044441
2310,FUKS010105,_aa_composition,0.8253455190064254,2.586092152147092,6.687872619396778,2.392820571468201,1.9760179565880212,0.8254996830933929
6495,QIAN880133,_aa_composition,0.8251729244829638,2.492734483150473,6.213725203487456,2.3916391477560945,1.9484242042388284,0.8259130081067869
343,AURR980119,_pseudo_AAC,0.8250946932638947,2.492931999554525,6.214709954402921,2.3911042246717775,1.8476940983682975,0.8265315850995816
5353,OOBM850102,_pseudo_AAC,0.8244986812393268,2.3705212591073748,5.619371039880014,2.3870406116716985,1.8150719992873963,0.8527898181005823
6343,QIAN880122,_pseudo_AAC,0.8244650726957533,2.621776170944899,6.873710290534494,2.3868120850757437,2.0184244149812165,0.8343758515716634
1599,CORJ870107,_distribution,0.8243057757803105,2.413697715598918,5.825936662287435,2.3857298126633757,1.957929991882152,0.8284470003886154
4814,NAGK730101,_amp_pseudo_AAC,0.8242768202660297,2.566141576716396,6.58508259175251,2.385533245313135,2.033940712101087,0.826842313276313
6232,QIAN880115,_composition,0.8234718333551881,2.6644118658428435,7.099090590844142,2.3800878897681947,2.242716374488438,0.8235333504788683
4890,NAKH900104,_aa_composition,0.8234050330939418,2.6639728479824143,7.096751334787535,2.3796376914026407,2.1155204683309896,0.8245529334251444
105,AURR980104,_aa_composition,0.8227099307065427,2.2588871222345746,5.102571030997198,2.3749681790732966,1.8019689613404053,0.8231484626942052
8003,VINM940103,_transition,0.822314266255846,2.5681635822553806,6.595464185222788,2.372322456873219,2.026428465738494,0.8285369182591192
8220,WOLR810101,_aa_composition,0.8218559845541444,2.546585291419165,6.485096646472434,2.3692690506713663,1.982523729865535,0.8232569863949387
2039,FAUJ880105,_amp_pseudo_AAC,0.8218418108918484,2.9103308967360078,8.470025928496215,2.3691748032850706,2.3409579092873427,0.8481437086191117
2910,HARY940101,_aa_composition,0.8217038459816322,2.400684699971908,5.763287028679211,2.368257996507484,1.8699066652560097,0.8232420651876051
6458,QIAN880130,_transition,0.8214106738527702,2.6410222367023155,6.974998454756101,2.366313332648726,2.0429038719596733,0.8323767043332239
3242,JOND920101,_tripeptide_composition,0.8213143628719095,2.721763649148345,7.407997361825316,2.3656755290746996,2.1420440983876086,0.8214090231959076
1523,CORJ870102,_transition,0.8211955980155761,2.388185262583378,5.703428848420439,2.364889738061859,1.7658536025591023,0.8221333756211884
3837,KOEP990102,_quasi_seq_order,0.8211842257850663,2.664380336620858,7.098922578171876,2.364814536366254,2.0749489596562687,0.823914199135017
819,BURA740102,_distribution,0.8211266548316479,2.78007963729754,7.7288427897164205,2.3644339442109605,2.094586261041507,0.823392628130025
1073,CHAM830108,_transition,0.8208818100123824,2.690382694554693,7.238159043159369,2.362817365305885,2.119096111098716,0.8271147819990459
7305,ROBB760106,_aa_composition,0.8208002156766077,2.4546905442192086,6.0255056678791945,2.3622793778717215,1.870665549664027,0.8354690229091896
6137,QIAN880109,_tripeptide_composition,0.8194462794221651,2.3769097810373787,5.649700107191159,2.3534055804643677,1.8389768913280116,0.8262468967541999
4497,MITS020101,_quasi_seq_order,0.8192107891950564,2.6584649275414285,7.067435770967854,2.3518723457047224,1.9875438630955204,0.8238224664018099
7260,ROBB760103,_aa_composition,0.818229012910709,2.7101560137746157,7.3449456189987155,2.3455123131672666,2.269549042717311,0.8189039854681113
3068,ISOY800105,_transition,0.8179149658287362,2.5590475240187804,6.548724230186651,2.343488755370848,1.9767351021078445,0.8203976142637875
8460,ZIMJ680104,_aa_composition,0.8175491718992846,2.8373697586025326,8.050667147032193,2.341138357552186,2.345894386765937,0.83512503028281
5098,NAKH920104,_pseudo_AAC,0.8174778168639452,2.611273512698867,6.81874935812268,2.340680691702083,1.9091968215265718,0.8174962205686439
3522,KARS160107,_quasi_seq_order,0.8172538291645994,2.691944803363641,7.24656682435651,2.339245793149286,2.05487737509678,0.8173072711486988
7995,VINM940103,_aa_composition,0.8171346025786542,2.6678238354867974,7.117284017191487,2.338483085254627,2.036737338790603,0.8333924050899338
3758,KHAG800101,_transition,0.8166807913457609,2.8649854079726564,8.208141387896248,2.335586805346987,2.219957806264997,0.8192477834438301
1258,CHOP780206,_pseudo_AAC,0.8164992687261341,2.5660316432068218,6.584518393938701,2.3344313147608835,1.9629152089538433,0.8172608926361167
5505,PALJ810108,_aa_composition,0.8164009390055648,2.4898005808306354,6.199106932304569,2.3338061080742554,1.8899385386898973,0.818670993758267
6643,RACS770103,_pseudo_AAC,0.8161392893058039,2.782709976194808,7.743474811614109,2.3321449128461915,2.056041665769373,0.8195337320588425
5432,PALJ810103,_tripeptide_composition,0.8160970955495669,2.6007942690619323,6.76413082998539,2.3318773597068976,1.9027577614749642,0.8160986409719613
6345,QIAN880123,_aa_composition,0.816023832767173,2.465723972143662,6.079794706803919,2.331413014684819,1.784142816524918,0.816054632581311
1002,CHAM830103,_quasi_seq_order,0.8158077730943274,2.8636982670976536,8.200767764978105,2.330045225861573,2.238398653024953,0.8189369997092971
7380,ROBB760111,_aa_composition,0.8152971939129645,2.5382165053142085,6.442543027849474,2.326822492247271,2.005781437280891,0.816287659001667
