,Index,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
2191,FINA910102,_dipeptide_composition,0.7908962461802383,2.500020900315676,6.250104502015203,2.18685045482612,2.0777238255153123,0.8030914778135214
5536,PALJ810110,_dipeptide_composition,0.7903915372947163,3.0370319942936796,9.223563334363444,2.184216047687633,2.4287183513192763,0.7909610253841977
4277,MAXF760101,_tripeptide_composition,0.7896348459895834,2.6430719060222434,6.985829100404054,2.1802841554165284,2.151734674815436,0.790515726077552
4457,MEIH800102,_tripeptide_composition,0.7895007117546666,2.5244889933287973,6.373044677438244,2.1795893850132644,2.0604688082500267,0.8046508969663592
2725,GEOR030108,_conjoint_triad,0.7894767936050797,2.736852794974198,7.490363221358078,2.179465566773378,2.2504469681914414,0.7986890044777136
3736,KARS160122,_dipeptide_composition,0.789266264762074,2.6155349767825977,6.841023214773143,2.1783766214759726,2.090481939667493,0.795306590242757
6245,QIAN880116,_geary_autocorrelation,0.7891326059919135,2.5570520522248366,6.538515197787248,2.1776861275896633,2.089888658641962,0.7891329309703903
8431,ZIMJ680102,_dipeptide_composition,0.7890015814164724,2.66013629313802,7.076325098070086,2.1770098791331804,2.1913305893800725,0.7919714693610911
3752,KHAG800101,_tripeptide_composition,0.7885853081282297,2.5898192676671745,6.707163839180139,2.1748655683890936,2.0763368095506833,0.7886711359357599
3961,KUMS000104,_dipeptide_composition,0.7883091975593639,2.5742936370504466,6.626987729758415,2.1734467554295605,2.006130852918503,0.7942914092666604
7696,TANS770101,_dipeptide_composition,0.7882862288841018,2.327154985022021,5.415650324312843,2.17332885439149,1.8525773675024508,0.7890179802973885
7171,RICJ880114,_dipeptide_composition,0.7882685651326264,2.525413953885094,6.377715638477544,2.173238197230753,2.0975506635685104,0.7884257053205361
6995,RICJ880102,_geary_autocorrelation,0.7880544324953339,2.5940803582759524,6.7292529051930945,2.172140087861549,2.1706791195699546,0.7967658458487601
5147,NAKH920108,_tripeptide_composition,0.7871869396443052,2.6494031191315566,7.019336887664021,2.1677084045235766,2.09890690531594,0.7888215894560417
5657,PARS000101,_tripeptide_composition,0.7865987478389969,2.6052810411168554,6.787489303202926,2.1647189466340584,2.06962345381519,0.7966218246981612
760,BUNA790101,_conjoint_triad,0.7864447442399347,2.4036640736706314,5.777600979054895,2.1639382713193758,2.0013846873526577,0.7947194342860059
439,AVBF000106,_moran_autocorrelation,0.7864169242449354,2.476272449493011,6.131925244118118,2.163797336200465,2.018303215698893,0.7872591682282919
1667,CRAJ730102,_tripeptide_composition,0.7858943388569172,2.5157955141711725,6.329227069123793,2.161155043376207,1.8855209804005018,0.7860899619560675
6122,QIAN880108,_tripeptide_composition,0.7855773514559461,2.6079867343069645,6.8015948063211065,2.1595570025488273,2.1108845814472748,0.7870839477508333
1997,FAUJ880103,_tripeptide_composition,0.785371573067344,2.368414267583172,5.609386142891533,2.1585214996239763,1.8073305956128305,0.7856052523336292
1621,COSI940101,_dipeptide_composition,0.785111706400642,2.7301896601664417,7.453935580479751,2.1572159434573406,2.2832934171143267,0.7886348375715878
6820,RACS820112,_conjoint_triad,0.7850682105387334,2.6007206862832764,6.763748088061757,2.156997653937199,2.1153729739787943,0.7941218821293543
17,ARGP820101,_tripeptide_composition,0.7850397415661164,2.825148029096404,7.981461386307296,2.1568548146493614,2.1492063957726546,0.785676578257894
4280,MAXF760101,_geary_autocorrelation,0.7846120681206992,2.4707786797465587,6.104747284290148,2.154712429349309,2.0146440902971725,0.7857203477120032
5011,NAKH900112,_dipeptide_composition,0.7845116719262241,2.7597644023309575,7.616299556373147,2.1542104296995097,2.2013106218600775,0.7846847177690697
6685,RACS820103,_conjoint_triad,0.7842298373184599,2.70949975138785,7.341388902770821,2.1528030770120536,2.2075812804295345,0.784972036969678
2779,GRAR740101,_moran_autocorrelation,0.7842091703573015,2.497061851475664,6.235317890095072,2.1526999842092205,2.0453626729968484,0.7864722808187147
8282,YANJ020101,_tripeptide_composition,0.7842024764584249,2.476323675385357,6.132178945274042,2.152666596273349,1.902328762145172,0.7842038809375389
3769,KIDA850101,_moran_autocorrelation,0.7839769523971819,2.4109106957813218,5.812490383032777,2.1515426308159458,1.7870485469106099,0.7853121973383175
6422,QIAN880128,_tripeptide_composition,0.7834307774205552,2.557105476608494,6.538788418501152,2.1488278854724285,2.0342899692703655,0.7869435934204847
2342,FUKS010107,_tripeptide_composition,0.7834083185042864,2.6226765160115355,6.878432107638405,2.1487164739991305,2.1184419387603586,0.7842095494524893
766,BUNA790102,_dipeptide_composition,0.7833147625923818,2.5466483261878383,6.4854176972753175,2.1482525595329953,2.0998352758967704,0.7869932649160432
7535,ROSM880105,_geary_autocorrelation,0.783202151443261,2.4466850808279546,5.986267884746095,2.1476945544286545,1.9813440965645797,0.784947146015321
4150,LEVM780103,_conjoint_triad,0.7830305788903462,2.2369827655318293,5.004091893286431,2.146845222040772,1.7491862546317027,0.7835645005498406
5305,OOBM770104,_conjoint_triad,0.7830231764054146,2.7412833238928473,7.5146342618530175,2.1468086003300044,2.3362275285647867,0.784106208453332
4850,NAKH900101,_geary_autocorrelation,0.7825330802336885,2.6822431183426043,7.194428145896257,2.144388149120526,2.1200309593604,0.782535284350046
6242,QIAN880116,_tripeptide_composition,0.7824477794308436,2.7980730193655248,7.829212621701304,2.1439677076191495,2.3162532397414743,0.7916252719193995
6362,QIAN880124,_tripeptide_composition,0.7822388891763676,2.7283559090774494,7.443925966597836,2.142939146062964,2.1446804907553094,0.7823006460147366
7063,RICJ880106,_pseudo_AAC,0.7821403147905793,2.4865412399925497,6.182887338183687,2.1424542862551834,2.01743737870991,0.7886291590976224
3557,KARS160110,_tripeptide_composition,0.7821041426857991,2.6005291849166667,6.762752041603344,2.14227644832287,1.9939462808061397,0.7889925480015578
7705,TANS770101,_conjoint_triad,0.7820308609344342,2.685384470666711,7.211289755297932,2.141916298789735,2.2359252954635167,0.7937414107428553
4726,NADH010103,_dipeptide_composition,0.7819834438227294,2.812473189552931,7.910005441954037,2.1416833600415854,2.2713249212326434,0.7820435060812214
5702,PONJ960101,_tripeptide_composition,0.7818937324980024,2.4512423988523953,6.008589297931645,2.1412428568532302,1.9240853736190267,0.8246739363003244
92,AURR980103,_tripeptide_composition,0.7817665473498998,2.5488515853209135,6.496644403992934,2.140618814166765,2.0134182320136564,0.7967581823036644
4951,NAKH900108,_dipeptide_composition,0.7817530895674565,2.6597056666317846,7.074034233113227,2.140552814546543,2.1055590613633126,0.7828159468989679
1246,CHOP780206,_dipeptide_composition,0.7816823374273705,2.815558840405227,7.927371583784027,2.1402059324777025,2.334322761703621,0.7893653521525763
4187,LEVM780106,_tripeptide_composition,0.7816812126379415,2.338733855699252,5.469676047793889,2.1402004192460233,1.8830064523648786,0.7817727312873242
3664,KARS160117,_moran_autocorrelation,0.7816760674712464,2.665583697979005,7.105336450931427,2.140175200405678,2.090328726821032,0.8001038007709214
829,CASG920101,_moran_autocorrelation,0.7814285372828029,2.973015804646693,8.838822974679024,2.1389629926554585,2.3684979659370913,0.7834453163781465
1864,FASG760101,_moran_autocorrelation,0.7807020302431236,2.779333950564072,7.724697208758093,2.1354169934864315,2.2673171740722107,0.7816998800138673
755,BUNA790101,_geary_autocorrelation,0.7804962288083008,2.838472505636043,8.056926165251756,2.1344157010332503,2.4527826897536853,0.7829250627517325
5599,PALJ810114,_moran_autocorrelation,0.7804732433059939,2.61283176153679,6.826889814095445,2.134303956337418,2.1938259613466142,0.7840095173085224
6736,RACS820107,_dipeptide_composition,0.7802913033235213,2.877999340613702,8.282880204572903,2.1334200685937916,2.2892543931225915,0.7899804734668878
6781,RACS820110,_dipeptide_composition,0.7800081552300048,2.774580797076322,7.698298599504679,2.1320466805838265,2.364618464228676,0.780174226861437
1951,FAUJ830101,_dipeptide_composition,0.7800038952509991,2.7083874290994348,7.335362466103846,2.1320260381318223,2.196095640372746,0.7829720286541261
887,CEDJ970104,_tripeptide_composition,0.7799297247451108,2.6983370986943784,7.281023098190396,2.131666728416217,2.1418494002783715,0.7799361924948601
3931,KUMS000102,_dipeptide_composition,0.7798962424724643,2.796460285129312,7.820190126305512,2.1315045872471505,2.38845733205391,0.7851062134703339
1291,CHOP780209,_dipeptide_composition,0.7798685414903588,2.5527778667058,6.5166748367430145,2.131370470505114,2.1113956621460597,0.784195797132231
6286,QIAN880119,_dipeptide_composition,0.7798192477428532,2.4168594471381435,5.841209587220893,2.131131873085161,1.9476335804052731,0.7807214436365494
8026,WARP780101,_dipeptide_composition,0.7793555222255255,2.6595622324112043,7.073271268068068,2.12889120964328,2.153092900642405,0.7797131281363814
3760,KHAG800101,_conjoint_triad,0.7793264087289684,2.828715102843809,8.00162913305666,2.12875077255944,2.3884824718765136,0.7818097609265309
3901,KUHL950101,_dipeptide_composition,0.7793141762611218,2.669333749062354,7.125342663883281,2.128691774124944,2.1936478452331,0.8072346757992767
3647,KARS160116,_tripeptide_composition,0.778967517001507,2.509384399988702,6.297010066906657,2.1270218379523285,2.0376947762986597,0.7789684792566882
3571,KARS160111,_dipeptide_composition,0.7789506708757417,2.487802418679853,6.1891608743893265,2.1269407864507373,2.0458298035548443,0.782668602353008
6151,QIAN880110,_dipeptide_composition,0.7789077805171027,2.5794577536097827,6.653602302657626,2.126734470556754,1.9790489289326199,0.7877923579043571
3826,KOEP990102,_dipeptide_composition,0.7788966712938609,2.74965373446027,7.560595659431308,2.126681041544787,2.2147409615951705,0.7814243754545694
5476,PALJ810106,_dipeptide_composition,0.7785961666205674,2.641327423315424,6.9766105571580965,2.125237311824188,2.113334157046669,0.7807362774433273
6340,QIAN880122,_conjoint_triad,0.7785310907036722,2.6138944824258585,6.832444365256348,2.1249250514527716,2.114190900349028,0.7870333686943075
2192,FINA910102,_tripeptide_composition,0.7784536070402632,2.505561344664869,6.277837651878825,2.124553433179759,2.0215921429938772,0.7925261376614283
