,Algorithm,Index,Category,R2,RMSE,MSE,RPD,MAE,Explained Var
68,AdaBoostRegressor,CHAM830105,geometry,0.6815909056121278,3.272165908214855,10.707069730883546,1.77217770354419,2.5150377919053915,0.6911884928807526
264,PLSRegression,KUMS000104,composition,0.6798510211403574,3.4113771445896472,11.637494022628612,1.7673555967425238,2.729550246665416,0.6839143456381047
69,RandomForestRegressor,CHAM830106,geometry,0.6766277657714466,3.434023664493578,11.792518528301905,1.7585253625701858,2.650566037735853,0.6809451725211759
562,AdaBoostRegressor,ZIMJ680102,geometry,0.6760968485903533,3.606212101964585,13.004765724355831,1.7570835516115928,2.8683223797421715,0.6763058502592602
202,RandomForestRegressor,ISOY800103,sec_struct,0.6752908693417056,3.114558631924929,9.70047547169809,1.75490151755346,2.5319622641509385,0.6828475345060954
157,RandomForestRegressor,FUKS010108,composition,0.6744396056684839,3.2784643235445983,10.74832832075474,1.752605688952446,2.694018867924528,0.6745249310751749
136,PLSRegression,FAUJ880106,geometry,0.6741665609796763,3.5986648426006456,12.950388649369929,1.7518712033037354,2.9275721736301232,0.6867357302011545
34,AdaBoostRegressor,BASU050101,geometry,0.6727409786908567,3.455453176291225,11.940156653541116,1.7480513509459592,2.788594209645293,0.6795319715974222
485,PLSRegression,ROBB760104,sec_struct,0.6725527813744959,3.6079933203372674,13.01761579959834,1.7475489404239817,2.974111487546712,0.6753018181585424
263,RandomForestRegressor,KUMS000103,composition,0.671590982228325,3.6706688018439153,13.473809452830244,1.7449880736229495,3.0611132075471774,0.6740954103176557
91,PLSRegression,CHOP780214,sec_struct,0.6705132232392705,3.2212388328745067,10.376379618418717,1.7421317874687197,2.525027593527619,0.6766752733473034
265,PLSRegression,KYTJ820101,hydrophobic,0.6703920159573785,3.7311530454033415,13.921503048222627,1.7418114395328128,3.0428261150689058,0.6730094724708903
154,RandomForestRegressor,FUKS010105,composition,0.6700734431513493,3.8895053621590763,15.128251962264205,1.7409703011633664,3.055584905660384,0.6711519171026442
357,AdaBoostRegressor,OOBM850103,sec_struct,0.6694344595256007,3.9047727508469614,15.247250235756947,1.7392868382916242,3.1534298746715934,0.6806113302370489
293,AdaBoostRegressor,MEEJ800102,hydrophobic,0.6691871854159422,3.5759995104982303,12.78777249908358,1.7386366805830555,2.9863240015234007,0.6695045062663858
394,RandomForestRegressor,PRAM900102,sec_struct,0.6685368790947241,3.751029989367197,14.070225981132078,1.7369303044308648,3.1331132075471713,0.6709330069406938
508,AdaBoostRegressor,SUEM840101,observable,0.6683203233913677,3.744262763069581,14.01950363890945,1.7363631856009765,2.9769225139813185,0.6698357598824372
96,RandomForestRegressor,CIDH920103,hydrophobic,0.6678610570555752,3.5623124617966493,12.690070075471704,1.735162289054704,2.9595849056603747,0.6812802871646899
165,AdaBoostRegressor,GEIM800103,sec_struct,0.6673336160943748,3.3216720689937995,11.033505333933551,1.7337861976350082,2.6425657029337595,0.6680164863293929
125,PLSRegression,FASG760102,observable,0.6666115229904785,3.4714916147409123,12.051254031216464,1.7319075578687804,2.813692497896766,0.6666681148924716
548,AdaBoostRegressor,WOLR810101,hydrophobic,0.6663206232507705,3.0630348768773,9.382182656966735,1.7311524597929624,2.540141902020774,0.6799408411228611
465,AdaBoostRegressor,RICJ880101,sec_struct,0.6652173244687962,3.227017349284516,10.413640972583265,1.7282975411340011,2.495626731058028,0.665973062549112
489,BaggingRegressor,ROBB760108,sec_struct,0.6640488696992602,3.259779770313233,10.626164150943396,1.725289370734896,2.5398113207547155,0.6726660695481724
220,AdaBoostRegressor,JURD980101,hydrophobic,0.6635186121836417,3.4246922427003885,11.728516957212221,1.7239294019556612,2.584556695899529,0.674880586342825
262,RandomForestRegressor,KUMS000102,composition,0.6631820848733719,3.4269236795791667,11.743805905660414,1.7230679657266093,2.6036415094339653,0.6694957474484682
83,AdaBoostRegressor,CHOP780206,sec_struct,0.6631120602640657,3.5379440377458513,12.517048014221412,1.7228888803136355,2.61030398790104,0.6722149845642224
110,BaggingRegressor,CRAJ730101,sec_struct,0.66308070583752,3.3019431100318504,10.902828301886805,1.7228087105954757,2.729622641509436,0.6695074094413829
376,AdaBoostRegressor,PARJ860101,observable,0.6630046715156604,3.4253028054736574,11.732699309185708,1.7226143459106549,2.7499887769904725,0.6677552039024766
34,BaggingRegressor,BASU050101,geometry,0.6613825502410784,3.7243044177707083,13.870443396226413,1.718483365835772,3.0881132075471687,0.6652335319099529
149,PLSRegression,FODM020101,sec_struct,0.6608622462343866,3.6289992200094936,13.169635338829513,1.7171646141215589,2.9902007670158905,0.6917152904112704
0,BaggingRegressor,ANDN920101,observable,0.6604666351805524,3.9003142108548414,15.21245094339622,1.7161639358813825,3.0654716981132073,0.6607167026791749
537,BaggingRegressor,WERD780101,hydrophobic,0.6603217786648887,3.6198120976980968,13.103039622641498,1.715797965940074,3.109999999999999,0.6604042848080207
138,RandomForestRegressor,FAUJ880108,polar,0.6590216441061654,3.1190072077929134,9.728205962264145,1.7125237130289688,2.586943396226411,0.6756417142470683
